# RA = 06 40 7.20(100.029985)
# Dec = -12 53 15.57(-12.887658)
14.833657     0.000000    -10.524121   0.042031 0.0   0.0
14.670988     0.000000    -10.846478   0.042031 0.0   0.0
14.833657     0.000000    -10.364121   0.042031 0.0   0.0
# NED (id = 6)
# Log   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
10.298853     0.000000    -13.761954   0.019997 0.0   0.0
9.685742     0.000000    -14.174574   0.041085 0.0   0.0
9.146128     0.000000    -14.501689   0.013129 0.0   0.0
8.562293     0.000000    -14.761954   0.040534 0.0   0.0
7.868056     0.000000    -15.192465   0.065363 0.0   0.0
# Catalina RTS (id = 5)
# Log   frequency \gn (Hz)    Bin   Nufnu (erg cm^-2 s^-1)  Nufnu (erg cm^-2 s^-1)_error    TStart    TStop
14.736397     0.000000    -10.922502   0.037628    54196.38892    54196.38892
14.736397     0.000000    -10.950502   0.037628    54196.40074    54196.40074
14.736397     0.000000    -10.966502   0.037628    54196.41256    54196.41256
14.736397     0.000000    -10.898502   0.037628    54196.42442    54196.42442
14.736397     0.000000    -10.934502   0.037628    54506.5938    54506.5938
14.736397     0.000000    -10.946502   0.037628    54506.60451    54506.60451
14.736397     0.000000    -10.942502   0.037628    54506.61519    54506.61519
14.736397     0.000000    -10.926502   0.037628    54506.62586    54506.62586
14.736397     0.000000    -10.934502   0.042031    54595.39045    54595.39045
14.736397     0.000000    -10.882502   0.042031    54595.3966    54595.3966
14.736397     0.000000    -10.926502   0.042031    54595.40276    54595.40276
14.736397     0.000000    -10.894502   0.042031    54595.40896    54595.40896
14.736397     0.000000    -10.878502   0.037628    54951.38854    54951.38854
14.736397     0.000000    -10.906502   0.037628    54951.39441    54951.39441
14.736397     0.000000    -10.922502   0.037628    54951.40025    54951.40025
14.736397     0.000000    -10.922502   0.037628    54951.40609    54951.40609
14.736397     0.000000    -10.918502   0.033273    55172.55895    55172.55895
14.736397     0.000000    -10.874502   0.033273    55172.56907    55172.56907
14.736397     0.000000    -11.122502   0.042031    55172.57921    55172.57921
14.736397     0.000000    -11.474502   0.055542    55172.57921    55172.57921
14.736397     0.000000    -10.906502   0.033273    55172.58949    55172.58949
14.736397     0.000000    -10.902502   0.037628    54907.45392    54907.45392
14.736397     0.000000    -10.922502   0.037628    54907.46061    54907.46061
14.736397     0.000000    -11.098502   0.042031    54907.46731    54907.46731
14.736397     0.000000    -11.478502   0.064819    54907.46731    54907.46731
14.736397     0.000000    -10.942502   0.037628    54907.47401    54907.47401
14.736397     0.000000    -11.470502   0.263425    54965.37159    54965.37159
14.736397     0.000000    -11.554502   0.321486    54965.37159    54965.37159
14.736397     0.000000    -11.034502   0.137374    54965.37545    54965.37545
14.736397     0.000000    -11.114502   0.161284    54965.37545    54965.37545
14.736397     0.000000    -10.854502   0.028965    55246.55058    55246.55058
14.736397     0.000000    -10.894502   0.042031    55323.38951    55323.38951
